volume,reactor_diameter,liquid_height,bottom_depth,n_impeller,diameter_impeller_1,ax_pos_impeller_1,n_blades_1,pitch_angle_1,diameter_impeller_2,ax_pos_impeller_2,n_blades_2,pitch_angle_2,diameter_impeller_3,ax_pos_impeller_3,n_blades_3,pitch_angle_3,n_diptubes,n_baffles,rpm,strainRate_p50,epsilon_p50,k_p50,Umag_p50
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,1000,35.991811901030644,0.04062025302885002,0.00424265033260259,0.21951650676067874
0.537212344,0.1,0.055066666696733615,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,45,0,0,0,0,0,4,1000,50.09747420739645,0.47368216032421673,0.031068643606542927,0.35287148118139955
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,45,0,0,0,0,0,4,1000,40.76512260071871,0.46984853701497836,0.033162089820817295,0.2996011910786556
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,250,7.227822789589584,0.0004136094013729071,0.000176675806011828,0.048871832045240024
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,500,16.879797657235333,0.005029586357660987,0.0011348620332638276,0.10532618536279645
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,750,27.595453320745573,0.01242621079426239,0.0014113966548744564,0.1660968333414351
0.537212344,0.1,0.055066666696733615,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,45,0,0,0,0,0,4,250,12.421156381601726,0.007433572590811821,0.0019700301700432657,0.08749163438671086
0.537212344,0.1,0.055066666696733615,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,45,0,0,0,0,0,4,500,25.088988859494243,0.058577654755063935,0.007694507673564666,0.17656020101797024
0.537212344,0.1,0.055066666696733615,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,45,0,0,0,0,0,4,750,37.766304770763234,0.20004557983163457,0.017569099823538922,0.26396430395129533
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,45,0,0,0,0,0,4,250,10.643413401354726,0.006415970204240078,0.00201880310988065,0.0821469806204321
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,45,0,0,0,0,0,4,500,21.303888357040304,0.051324976550570486,0.008069531216091745,0.16874894726676232
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,45,0,0,0,0,0,4,750,30.48117801681637,0.1966996948314849,0.018540568978402852,0.22351683367636013
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,750,26.694615337136153,0.016972102848052062,0.0024135429058837112,0.16117830558504853
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,60,0,0,0,0,0,4,750,27.030023141315898,0.10027629792674009,0.011428404675974238,0.192266079527546
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,1000,36.19403566538251,0.04091741626820828,0.004295377185494736,0.21945173684201164
0.537212344,0.1,0.055066666696733615,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,60,0,0,0,0,0,4,1000,39.091962700856094,0.2487090274568904,0.021745322887593087,0.269147838816234
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,60,0,0,0,0,0,4,500,17.584006645178714,0.030010109712352975,0.005092602247138131,0.12600872171961972
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,60,0,0,0,0,0,4,1000,36.62811734935767,0.24374787436456172,0.020950126757761603,0.25990931572519543
